,numeroProcesso,classe,orgao,strData,ultimaAtualizacao,formato,assuntos,sort
40,00053759020058190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2005-10-14T00:00:00.000Z,2023-08-15T12:04:41.350Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1129248000000
41,00025235920068190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2006-04-24T00:00:00.000Z,2023-08-14T08:05:53.578Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1145836800000
42,00056093820068190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2006-08-31T00:00:00.000Z,2023-08-14T07:30:59.244Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1156982400000
43,00068703820068190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2006-10-11T00:00:00.000Z,2023-08-15T06:50:10.502Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}, {'codigo': 3521, 'nome': 'Quadrilha ou Bando'}]",1160524800000
44,00020556120078190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2007-03-29T00:00:00.000Z,2023-08-14T22:28:22.278Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1175126400000
45,00025146320078190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2007-04-18T00:00:00.000Z,2023-08-12T19:21:42.535Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1176854400000
46,00032568820078190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2007-05-18T00:00:00.000Z,2023-08-13T20:00:22.153Z,Físico,"[[{'codigo': 3419, 'nome': 'Roubo '}], [{'codigo': 10621, 'nome': 'Aplicação da Pena'}], {'codigo': 30008}, [{'codigo': 3566, 'nome': 'Resistência '}]]",1179446400000
47,00053718220078190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2007-07-11T00:00:00.000Z,2023-08-12T18:20:16.920Z,Físico,"[{'codigo': 3692, 'nome': 'Contravenções Penais'}, {'codigo': 3419, 'nome': 'Roubo '}]",1184112000000
48,00069150820078190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2007-09-14T00:00:00.000Z,2023-08-15T09:46:37.478Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1189728000000
49,00077327220078190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2007-10-08T00:00:00.000Z,2023-08-13T19:50:04.562Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1191801600000
50,00090326920078190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2007-10-18T00:00:00.000Z,2022-09-24T01:37:40.149Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1192665600000
51,00112356720088190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2008-10-17T00:00:00.000Z,2023-08-14T02:04:35.752Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1224201600000
52,00056803520098190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2009-05-07T00:00:00.000Z,2023-08-14T07:32:08.196Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}, {'codigo': 3692, 'nome': 'Contravenções Penais'}]",1241654400000
53,00108733120098190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2009-08-21T00:00:00.000Z,2023-08-15T08:56:18.138Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1250812800000
54,00122409020098190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2009-09-25T00:00:00.000Z,2023-08-13T12:46:32.981Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1253836800000
55,00048617620098190012,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2009-11-23T00:00:00.000Z,2023-08-15T06:52:56.963Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}, {'codigo': 10621, 'nome': 'Aplicação da Pena'}]",1258934400000
56,00024591020108190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2010-03-15T00:00:00.000Z,2023-08-13T13:45:20.972Z,Eletrônico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1268611200000
